Index_COS,Index_SIN,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
0.335398531,0.942076337,90.68453217,0.105026662,-0.490940988,-0.013489165,-0.178632379
0.323437988,0.946249369,90.68453217,0.101558968,-0.501051128,-0.013379314,-0.169054359
0.311425543,0.950270557,91.69438171,0.09816321,-0.505308032,-0.013215735,-0.162669003
0.299363124,0.954139256,91.69438171,0.094814584,-0.505308032,-0.01286474,-0.155751526
0.287252667,0.957854846,92.70423126,0.091731004,-0.496262074,-0.012340434,-0.147237733
0.275096115,0.96141673,93.91605377,0.091731004,-0.496262074,-0.012340434,-0.147237733
0.262895418,0.964824336,93.91605377,0.08608713,-0.460078418,-0.011156011,-0.131806463
0.250652534,0.968077118,94.72393036,0.083341897,-0.445179284,-0.010443584,-0.117971525
0.238369429,0.971174554,94.72393036,0.080680139,-0.438261807,-0.009619156,-0.105732925
0.226048073,0.974116147,95.32984161,0.080680139,-0.444647193,-0.009619156,-0.105732925
0.213690443,0.976901425,95.32984161,0.07557302,-0.438793957,-0.007728366,-0.083916306
0.201298523,0.979529941,96.54165649,0.073241189,-0.430280149,-0.006671175,-0.07220982
0.188874294,0.982001273,96.54165649,0.073241189,-0.411656201,-0.006671175,-0.07220982
0.176419763,0.984315024,97.55151367,0.068859808,-0.393032253,-0.004529431,-0.055714324
0.163936923,0.986470823,99.16726685,0.068859808,-0.368555069,-0.004529431,-0.055714324
0.151427775,0.988468325,99.16726685,0.064569481,-0.35950911,-0.003301532,-0.050393198
0.138894328,0.990307208,99.36923981,0.062430605,-0.353655875,-0.000872389,-0.042411506
0.126338593,0.991987177,99.36923981,0.060354616,-0.353123784,0.000167048,-0.040283054
0.113762584,0.993507964,99.36923981,0.058486708,-0.33875674,0.001161681,-0.038154602
0.10116832,0.994869324,99.36923981,0.056798477,-0.324921787,0.001999123,-0.037090376
0.088557822,0.996071038,100.3790894,0.055245392,-0.314811647,0.002859865,-0.040283054
0.075933113,0.997112914,100.3790894,0.053703573,-0.303637266,0.003541172,-0.041879393
0.063296219,0.997994784,100.1771164,0.051933851,-0.309490502,0.004068314,-0.050925311
0.050649168,0.998716507,100.1771164,0.049977526,-0.323857546,0.004437904,-0.050393198
0.037993989,0.999277968,100.1771164,0.047988195,-0.324389696,0.004770188,-0.045072068
0.025332714,0.999679075,99.97515106,0.046214715,-0.301508844,0.005021085,-0.046668407
0.012667373,0.999919766,99.97515106,0.044581253,-0.281288564,0.005068215,-0.049328972
0,1,99.16726685,0.043094561,-0.267453611,0.005306684,-0.048264746
-0.012667373,0.999919766,99.16726685,0.041704696,-0.256214976,0.005374243,-0.054650098
-0.025332714,0.999679075,98.1574173,0.040381923,-0.245636985,0.005253859,-0.062099677
-0.037993989,0.999277968,98.1574173,0.039156321,-0.232866272,0.005092593,-0.073274046
-0.050649168,0.998716507,96.94560242,0.039156321,-0.213178098,0.005092593,-0.073274046
-0.063296219,0.997994784,95.93575287,0.036758322,-0.196150497,0.004408968,-0.081787854
-0.075933113,0.997112914,95.93575287,0.035291124,-0.195618376,0.004066302,-0.085512646
-0.088557822,0.996071038,94.5219574,0.03389531,-0.207324862,0.003725741,-0.097219124
-0.10116832,0.994869324,94.5219574,0.03389531,-0.214242324,0.003725741,-0.097219124
-0.113762584,0.993507964,92.70423126,0.031736683,-0.202535838,0.003167583,-0.101476029
